date,bot_type,entry_price,exit_price,pnl,exit_reason,credit_or_debit,strike_a,strike_b,strike_c,strike_d,vix,atr,adx,rsi,confluence
2024-02-01,BEARISH,4879.60009765625,4905.9501953125,-139.0,STOP_LOSS,-2.78,4880,4870.0,0,0,13.880000114440918,40.51105190333786,33.44557509708668,27.255490676601667,3
2024-02-02,BULLISH,4958.759765625,4958.0400390625,-277.0,EXPIRY,-2.77,4960,4970.0,0,0,13.850000381469727,43.28561998289282,24.38987382166075,56.45138519257026,5
2024-02-05,BULLISH,4941.97021484375,4942.2099609375,-52.00390625,EXPIRY,-2.73,4940,4950.0,0,0,13.670000076293945,46.727550339340446,29.717352321944208,64.38868684954585,4
2024-02-06,BULLISH,4942.7001953125,4954.240234375,663.0234375,EXPIRY,-2.61,4945,4955.0,0,0,13.0600004196167,45.89987956492839,21.72830280278361,55.96305037640595,3
2024-02-07,BULLISH,4988.22021484375,4994.93994140625,236.99414062500003,EXPIRY,-2.57,4990,5000.0,0,0,12.829999923706055,42.83191385210461,16.97592084964858,59.67013572415292,4
2024-02-08,BULLISH,4994.64990234375,4998.52001953125,96.001953125,EXPIRY,-2.56,4995,5005.0,0,0,12.789999961853027,43.209012838490665,28.822953524984847,67.72204199138204,4
2024-02-09,BULLISH,5015.14990234375,5025.89013671875,741.0,EXPIRY,-2.59,5015,5025.0,0,0,12.930000305175781,39.22248560585858,33.6343325610503,66.37396430471503,4
2024-02-12,BULLISH,5042.77978515625,5022.490234375,-139.5,STOP_LOSS,-2.79,5045,5055.0,0,0,13.930000305175781,38.27947450424411,42.893833691909755,75.97410783848389,4
2024-02-13,BULLISH,4958.2998046875,4953.7001953125,-158.5,STOP_LOSS,-3.17,4960,4970.0,0,0,15.850000381469727,37.38355238284489,43.44153739189333,61.23366062157729,3
2024-02-14,BEARISH,4971.89990234375,5000.31982421875,-288.0,EXPIRY,-2.88,4970,4960.0,0,0,14.380000114440918,45.936383419298906,44.411322885355965,38.887948490595775,2
2024-02-15,BULLISH,5015.56005859375,5029.669921875,720.0,EXPIRY,-2.8,5015,5025.0,0,0,14.010000228881836,46.39154531755906,30.62127055324105,55.84783160453538,4
2024-02-16,BULLISH,5032.580078125,5005.14990234375,-285.0,EXPIRY,-2.85,5035,5045.0,0,0,14.239999771118164,44.64337573355119,25.781971417637664,64.45272849679252,4
2024-02-21,BEARISH,4960.419921875,4981.91015625,-307.0,EXPIRY,-3.07,4960,4950.0,0,0,15.34000015258789,44.79959648847845,26.18177910971583,43.236523802524076,2
2024-02-23,BULLISH,5092.56982421875,5089.31005859375,-275.0,EXPIRY,-2.75,5095,5105.0,0,0,13.75,52.96133667495715,35.381901307262574,71.2652328083528,4
2024-02-26,BULLISH,5088.06982421875,5069.08984375,-275.0,EXPIRY,-2.75,5090,5100.0,0,0,13.739999771118164,49.8465048057962,36.909170877605014,65.84642362534117,4
2024-02-27,BULLISH,5065.0,5079.47998046875,731.0,EXPIRY,-2.69,5065,5075.0,0,0,13.430000305175781,47.03363749835671,29.693892659116592,53.30571762404017,2
2024-02-28,BULLISH,5069.2900390625,5070.27001953125,-249.998046875,EXPIRY,-2.77,5070,5080.0,0,0,13.84000015258789,43.88247281107582,19.486282154571292,58.015255827601365,4
2024-03-01,BULLISH,5123.68017578125,5137.0400390625,738.0,EXPIRY,-2.62,5125,5135.0,0,0,13.109999656677246,40.99876829337473,14.21885413330736,63.141890043684,4
2024-03-04,BULLISH,5139.27978515625,5131.0400390625,-270.0,EXPIRY,-2.7,5140,5150.0,0,0,13.489999771118164,41.68825543759143,25.543633247115974,74.4586635981363,4
2024-03-05,BULLISH,5092.2001953125,5078.85986328125,-144.5,STOP_LOSS,-2.89,5090,5100.0,0,0,14.460000038146973,39.1284541917459,31.306612535282348,61.66027404527096,3
2024-03-06,BEARISH,5125.080078125,5105.72998046875,710.0,EXPIRY,-2.9,5125,5115.0,0,0,14.5,43.795376445346456,29.49194266354836,41.48417596119366,2
2024-03-08,BULLISH,5152.10986328125,5124.3701171875,-147.5,STOP_LOSS,-2.95,5150,5160.0,0,0,14.739999771118164,46.709143516171345,21.86772555445821,63.81268221055674,4
2024-03-11,SIDEWAYS,5111.490234375,5118.4599609375,152.0,EXPIRY,1.52,5130,5135.0,5095,5090,15.220000267028809,50.04922646401516,18.21033797371208,47.546798926238566,0
2024-03-12,SIDEWAYS,5157.41015625,5174.93994140625,-276.0,STOP_LOSS,1.38,5175,5180.0,5140,5135,13.84000015258789,47.84533220631314,16.621220638692822,47.9075046973815,0
2024-03-13,BULLISH,5168.7099609375,5165.60986328125,-275.0,EXPIRY,-2.75,5170,5180.0,0,0,13.75,50.184639474638054,18.743187695847787,62.22850888099699,4
2024-03-18,BEARISH,5162.3798828125,5149.419921875,713.0,EXPIRY,-2.87,5160,5150.0,0,0,14.329999923706055,47.737090450231065,27.07383655394582,42.18263187295003,3
2024-03-20,BULLISH,5178.06982421875,5223.2900390625,739.0,EXPIRY,-2.61,5180,5190.0,0,0,13.039999961853027,49.11307259095134,17.206507772334106,59.715299409692875,4
2024-03-21,BULLISH,5260.33984375,5241.02001953125,-258.0,EXPIRY,-2.58,5260,5270.0,0,0,12.920000076293945,49.850014474657826,23.022095043198515,70.48368112397165,4
2024-03-22,BULLISH,5234.47998046875,5234.27001953125,-261.0,EXPIRY,-2.61,5235,5245.0,0,0,13.0600004196167,48.067343273870115,35.33527568002538,65.72195680165527,4
2024-03-25,BULLISH,5224.89990234375,5219.06005859375,-264.0,EXPIRY,-2.64,5225,5235.0,0,0,13.1899995803833,43.82099437902077,32.346196780707544,59.00445030394274,3
2024-03-27,BEARISH,5219.759765625,5249.1298828125,-256.0,EXPIRY,-2.56,5220,5210.0,0,0,12.779999732971191,39.2369053960756,15.947023833425309,38.806388031886144,2
2024-03-28,BULLISH,5253.3798828125,5255.60009765625,-199.990234375,EXPIRY,-2.6,5255,5265.0,0,0,13.010000228881836,40.09594300993219,13.277197765363086,64.76889330346881,4
2024-04-01,BULLISH,5238.990234375,5243.41015625,68.015625,EXPIRY,-2.73,5240,5250.0,0,0,13.649999618530273,37.287187066941236,21.007547857383916,62.6368479226725,4
2024-04-02,BULLISH,5192.91015625,5205.8701171875,708.0,EXPIRY,-2.92,5195,5205.0,0,0,14.609999656677246,36.94889545801574,14.964299507024405,54.074125986235494,4
2024-04-03,BEARISH,5224.93994140625,5213.18017578125,713.0,EXPIRY,-2.87,5225,5215.0,0,0,14.329999923706055,39.985071376113645,22.826083057278186,40.77070902813613,2
2024-04-04,BEARISH,5253.1298828125,5147.080078125,673.0,EXPIRY,-3.27,5255,5245.0,0,0,16.350000381469727,39.23771290096516,18.317056090942877,45.96702541425389,2
2024-04-05,BEARISH,5214.7099609375,5204.7998046875,679.0,EXPIRY,-3.21,5215,5205.0,0,0,16.030000686645508,48.74332253500314,21.336545305247547,29.840210020928964,3
2024-04-08,BEARISH,5203.68994140625,5203.6201171875,-166.01171875,EXPIRY,-3.04,5205,5195.0,0,0,15.1899995803833,52.240241509502724,16.82692634552488,48.642886009826945,2
2024-04-09,BEARISH,5189.759765625,5210.06005859375,-300.0,EXPIRY,-3.0,5190,5180.0,0,0,14.979999542236328,48.237506183235695,13.566830368467793,47.734728395259076,3
2024-04-11,BEARISH,5165.93994140625,5198.169921875,-149.0,STOP_LOSS,-2.98,5165,5155.0,0,0,14.90999984741211,53.12544214429704,21.71279884455789,40.635618500590645,3
2024-04-12,BULLISH,5134.83984375,5123.60009765625,-346.0,EXPIRY,-3.46,5135,5145.0,0,0,17.309999465942383,55.77668527505744,19.31858441216044,54.80554217071451,4
2024-04-15,BEARISH,5122.35986328125,5061.6201171875,615.0,EXPIRY,-3.85,5120,5110.0,0,0,19.229999542236328,60.489142863383115,26.362139741868134,38.70031542205694,4
2024-04-16,BEARISH,5060.72998046875,5050.58984375,573.015625,EXPIRY,-3.68,5060,5050.0,0,0,18.399999618530273,67.88525193993203,27.10082441824656,29.766038495137224,4
2024-04-17,BEARISH,5020.7099609375,5021.419921875,-182.0,STOP_LOSS,-3.64,5020,5010.0,0,0,18.209999084472656,64.16852043127443,33.485385598840246,35.20023072295177,4
2024-04-18,BEARISH,5041.85009765625,5010.18994140625,640.0,EXPIRY,-3.6,5040,5030.0,0,0,18.0,65.04071249877117,36.886430351612084,33.33975977311471,4
2024-04-19,BEARISH,4967.22021484375,4967.2001953125,-187.0,STOP_LOSS,-3.74,4965,4955.0,0,0,18.709999084472656,63.67128676976835,34.47613401152942,34.85703208792479,4
2024-04-22,BEARISH,4992.580078125,5011.47998046875,-169.5,STOP_LOSS,-3.39,4995,4985.0,0,0,16.940000534057617,63.90977665879924,39.0597003679356,29.838673447752868,4
2024-04-24,BULLISH,5056.18994140625,5072.2099609375,681.0,EXPIRY,-3.19,5055,5065.0,0,0,15.970000267028809,65.01426349594254,27.51974660369718,61.84643603146819,2
2024-04-25,BULLISH,5029.330078125,5049.330078125,693.0,EXPIRY,-3.07,5030,5040.0,0,0,15.369999885559082,62.00702315481687,23.445784686815358,59.52851399881892,2
2024-04-26,SIDEWAYS,5104.259765625,5098.68994140625,150.0,EXPIRY,1.5,5130,5135.0,5080,5075,15.029999732971191,64.54606069250795,19.78846141239924,51.89269632777437,0
2024-04-29,BULLISH,5116.5400390625,5116.83984375,-109.01562500000001,EXPIRY,-2.93,5115,5125.0,0,0,14.670000076293945,64.76661197517356,21.995305283888623,60.04008286795308,3
2024-04-30,BULLISH,5081.93017578125,5036.25,-313.0,EXPIRY,-3.13,5080,5090.0,0,0,15.649999618530273,60.77644131598375,21.365654056285504,60.75695415669096,4
2024-05-01,BEARISH,5025.259765625,5017.56982421875,-154.0,STOP_LOSS,-3.08,5025,5015.0,0,0,15.390000343322754,63.45423091135259,21.037961886325185,35.18633847181604,5
2024-05-03,BULLISH,5123.6298828125,5127.77001953125,7.001953124999982,EXPIRY,-2.7,5125,5135.0,0,0,13.489999771118164,65.50216746786039,19.398980538564963,52.33068579052869,2
2024-05-06,BULLISH,5156.14013671875,5180.7001953125,730.0,EXPIRY,-2.7,5155,5165.0,0,0,13.489999771118164,66.75786805547901,31.58521703957275,64.96556645461504,4
2024-05-07,BULLISH,5196.7001953125,5187.52001953125,-265.0,EXPIRY,-2.65,5195,5205.0,0,0,13.229999542236328,64.95148043974848,43.238799717481974,73.6294916034752,4
2024-05-08,BULLISH,5182.7001953125,5187.60986328125,0.9863281249999911,EXPIRY,-2.6,5185,5195.0,0,0,13.0,59.12728565194868,50.4466131638273,68.79980595708955,4
2024-05-09,BULLISH,5201.93017578125,5214.580078125,746.0,EXPIRY,-2.54,5200,5210.0,0,0,12.6899995803833,54.72235850252219,42.13522332507864,65.8034887380336,4
2024-05-10,BULLISH,5216.35986328125,5222.0400390625,453.00390625,EXPIRY,-2.51,5215,5225.0,0,0,12.550000190734863,52.07799716051923,38.22400318447488,73.14222726834869,4
2024-05-13,BULLISH,5225.8798828125,5221.740234375,-272.0,EXPIRY,-2.72,5225,5235.0,0,0,13.600000381469727,49.13159493495001,39.98385058375053,71.50019859341425,4
2024-05-14,BULLISH,5221.509765625,5245.6298828125,732.0,EXPIRY,-2.68,5220,5230.0,0,0,13.420000076293945,46.060663526956674,37.57605463458456,64.10935414696303,4
2024-05-15,BULLISH,5291.47998046875,5308.669921875,751.0,EXPIRY,-2.49,5290,5300.0,0,0,12.449999809265137,44.23792661919579,40.96045588827675,69.6343569737262,4
2024-05-16,BULLISH,5315.68994140625,5297.8701171875,-248.0,EXPIRY,-2.48,5315,5325.0,0,0,12.420000076293945,47.016815049136355,54.97231590468214,84.5563001462971,4
2024-05-17,BULLISH,5296.08984375,5303.89013671875,649.013671875,EXPIRY,-2.4,5295,5305.0,0,0,11.989999771118164,44.654612105084844,57.150986632815304,63.636562366410736,3
2024-05-20,BULLISH,5317.9599609375,5309.1201171875,-243.00000000000003,EXPIRY,-2.43,5320,5330.0,0,0,12.149999618530273,41.61537736607353,43.07636515959205,62.7869765588651,4
2024-05-21,BULLISH,5311.2900390625,5321.97021484375,763.0,EXPIRY,-2.37,5310,5320.0,0,0,11.859999656677246,39.12264996726373,33.88919830896395,58.91628204523915,3
2024-05-22,BULLISH,5319.669921875,5306.58984375,-123.0,STOP_LOSS,-2.46,5320,5330.0,0,0,12.289999961853027,37.43292424246191,23.37640200517863,65.6599957030497,4
2024-05-24,BEARISH,5307.3701171875,5304.7001953125,-209.01953125,EXPIRY,-2.39,5305,5295.0,0,0,11.930000305175781,43.738160319893616,20.65877691757469,35.99685954135299,2
2024-05-30,BEARISH,5248.85009765625,5236.169921875,711.0,EXPIRY,-2.89,5250,5240.0,0,0,14.470000267028809,42.68482232064631,16.51191204759092,36.476977555731615,3
